id,short_name,long_name,description,type,url,color,text_color,agency_id
MTA NYCT_M34+,M34-SBS,East Side - Javits Center,Select Bus Service via 34th St Crosstown,3,,006CB7,FFFFFF,MTA NYCT
MTA NYCT_B106,B106,J Shuttle Bus - Hewes St & Essex St,,711,,6CBE45,FFFFFF,MTA NYCT
MTA NYCT_B52,B52,Downtown Brooklyn - Ridgewood,via Gates Av / Greene Av / Atlantic Av,3,,EE352E,FFFFFF,MTA NYCT
MTA NYCT_Q24,Q24,Broadway Junction - Jamaica,via Atlantic Av,3,,00AEEF,FFFFFF,MTA NYCT
MTA NYCT_S66,S66,St. George - Port Richmond,via Victory Blvd / Jewett Av,3,,6CBE45,FFFFFF,MTA NYCT
MTA NYCT_Q27,Q27,Cambria Heights - Flushing,via Springfield Blvd / Rocky Hill Rd / 46th Av / Kissena Blvd,3,,EE352E,FFFFFF,MTA NYCT
MTA NYCT_Q26,Q26,Fresh Meadows - Flushing (Part-time),via Hollis Court Blvd / 46th Av / Parsons Blvd,3,,6CBE45,FFFFFF,MTA NYCT
MTA NYCT_Q28,Q28,Bayside - Flushing,via Northern Blvd / 32nd Av / Corporal Kennedy St,3,,EE352E,FFFFFF,MTA NYCT
MTA NYCT_B46+,B46-SBS,Kings Plaza - Williamsburg,Select Bus Service via Utica Av - Malcolm X Blvd,3,,6CBE45,FFFFFF,MTA NYCT
MTA NYCT_S61,S61,St. George - Staten Island Mall,via Victory Blvd / Bradley Av,3,,EE352E,FFFFFF,MTA NYCT
MTA NYCT_SIM15,SIM15,Eltingville - Lower Manhattan Express,via Richmond Rd,3,,00933C,FFFFFF,MTA NYCT
MTA NYCT_S62,S62,St. George - Travis,via Victory Blvd,3,,B933AD,FFFFFF,MTA NYCT
MTA NYCT_B44,B44,Sheepshead Bay - Williamsburg,via Nostrand Av,3,,B933AD,FFFFFF,MTA NYCT
MTA NYCT_B43,B43,Greenpoint - Lefferts Gardens,via Manhattan Av / Graham Av / Tompkins Av / Throop Av,3,,EE352E,FFFFFF,MTA NYCT
MTA NYCT_SIM10,SIM10,Eltingville - Midtown Manhattan Express,via Hylan Bl,3,,00933C,FFFFFF,MTA NYCT
MTA NYCT_B46,B46,Kings Plaza - Williamsburg,via Utica Av - Malcolm X Blvd,3,,6CBE45,FFFFFF,MTA NYCT
MTA NYCT_SIM11,SIM11,New Dorp - Midtown Manhattan Express,via Hylan Bl / Madison Av / Lexington Av,3,,00933C,FFFFFF,MTA NYCT
MTA NYCT_B45,B45,Downtown Brooklyn - Crown Heights,via St Johns Place / Washington Av / Atlantic Av,3,,EE352E,FFFFFF,MTA NYCT
MTA NYCT_B48,B48,Lefferts Gardens - Greenpoint,via Lorimer St / Franklin & Classon Av,3,,6CBE45,FFFFFF,MTA NYCT
