StopPointRef,VehicleRef,ProgressRate,ExpectedDepartureTime,StopPoint,VisitNumber,DataFrameRef,StopPointName,SituationSimpleRef5,SituationSimpleRef3,Bearing,SituationSimpleRef4,SituationSimpleRef1,OriginAimedDepartureTime,SituationSimpleRef2,JourneyPatternRef,RecordedAtTime,OperatorRef,DestinationName,ExpectedArrivalTime,BlockRef,LineRef,VehicleLocationLongitude,DirectionRef,ArrivalProximityText,DistanceFromStop,EstimatedPassengerCapacity,AimedArrivalTime,PublishedLineName,DatedVehicleJourneyRef,Date,Monitored,ProgressStatus,DestinationRef,EstimatedPassengerCount,VehicleLocationLatitude,OriginRef,NumberOfStopsAway,ts,uuid
MTA_503195,MTA NYCT_8440,normalProgress,2025-06-26T14:04:15.568-04:00,,1,2025-06-26,HILLSIDE AV/172 ST,,,198.04213,,MTABC_lmm:planned_work:24195,,MTABC_lmm:planned_work:23593,MTA_Q030131,2025-06-26T14:04:01.000-04:00,MTA NYCT,JAMAICA BUS TERMINAL,2025-06-26T14:04:15.568-04:00,MTA NYCT_JA_B5-Weekday-SDon_E_JA_41580_MISC-830,MTA NYCT_Q3,-73.78986,0,at stop,22,,2025-06-26T14:08:50.817-04:00,Q3,MTA NYCT_JA_B5-Weekday-SDon-078000_MISC_830,"Thu, 26 Jun 2025 18:04:29 GMT",true,,MTA_804235,,40.711832,MTA_904254,0,1750961071085,0fd319bd-de40-41e9-9e9e-de4f90b5a0c1
MTA_301384,MTA NYCT_7112,normalProgress,2025-06-26T14:07:26.322-04:00,,1,2025-06-26,JAMAICA AV/FANCHON PL,,,103.46521,,MTA NYCT_EN_B5-Weekday-SDon-081200_B25_227,,MTA NYCT_EN_B5-Weekday-SDon-080400_B83_310,MTA_B830018,2025-06-26T14:03:54.000-04:00,MTA NYCT,BROADWAY JCT VAN SINDEREN AV,2025-06-26T14:07:26.322-04:00,MTA NYCT_EN_B5-Weekday-SDon_E_EN_44460_B83-314,MTA NYCT_B83,-73.896732,0,< 1 stop away,423,,2025-06-26T13:22:18.823-04:00,B83,MTA NYCT_EN_B5-Weekday-SDon-076600_B83_314,"Thu, 26 Jun 2025 18:04:29 GMT",true,,MTA_801064,,40.675183,MTA_801168,0,1750961071085,fca6bafb-064e-40ad-9abd-77eec2b4c5a2
MTA_401730,MTA NYCT_9774,normalProgress,2025-06-26T14:04:15.568-04:00,,1,2025-06-26,1 AV/PALADINO AV,,,53.347958,,,,,MTA_M1160007,2025-06-26T14:03:48.000-04:00,MTA NYCT,EAST HARLEM PALADINO AV CROSSTOWN,2025-06-26T14:04:15.568-04:00,MTA NYCT_MV_B5-Weekday-SDon_E_MV_47880_M116-709,MTA NYCT_M116,-73.932212,0,at stop,0,,2025-06-26T13:56:26.829-04:00,M116,MTA NYCT_MV_B5-Weekday-SDon-080800_M116_709,"Thu, 26 Jun 2025 18:04:29 GMT",true,,MTA_803059,,40.800373,MTA_404911,0,1750961071085,dc5a0525-137b-4eda-8a69-243a37a3362b
MTA_202846,MTA NYCT_8444,normalProgress,2025-06-26T14:04:15.568-04:00,,1,2025-06-26,INDEPENDENCE AV/ASHLEY HOMEGOODS,,,258.69006,,MTA NYCT_lmm:alert:443913,,,MTA_S440244,2025-06-26T14:02:52.000-04:00,MTA NYCT,ST GEORGE FERRY,2025-06-26T14:04:15.568-04:00,MTA NYCT_YU_B5-Weekday-SDon_E_YU_50400_S4494-415,MTA NYCT_S44,-74.164177,0,< 1 stop away,496,80,2025-06-26T14:05:06.838-04:00,S44,MTA NYCT_YU_B5-Weekday-SDon-084300_S4494_415,"Thu, 26 Jun 2025 18:04:29 GMT",true,,MTA_805016,1,40.573994,MTA_200457,0,1750961071085,0830c505-8120-4744-9d5f-a91c29f9c9a0
MTA_301386,MTA NYCT_7113,noProgress,2025-06-26T14:05:36.180-04:00,,1,2025-06-26,PACIFIC ST/EAST NEW YORK AV,,,146.30994,,,2025-06-26T13:54:00.000-04:00,,MTA_B120015,2025-06-26T14:04:11.000-04:00,MTA NYCT,LEFFERTS GARDENS OCEAN AV,2025-06-26T14:05:36.180-04:00,MTA NYCT_EN_B5-Weekday-SDon_E_EN_28140_B15-107,MTA NYCT_B12,-73.900141,1,< 1 stop away,477,80,2025-06-26T13:57:59.847-04:00,B12,MTA NYCT_EN_B5-Weekday-SDon-083400_B83_309,"Thu, 26 Jun 2025 18:04:29 GMT",true,layover,MTA_901089,8,40.67692,MTA_801177,0,1750961071086,d9da61c6-bbcc-4617-b93b-8200829602e7
MTA_903352,MTA NYCT_9773,noProgress,,,1,2025-06-26,W 129 St/AMSTERDAM AV,,,337.02728,,MTA NYCT_lmm:planned_work:15147,2025-06-26T14:14:00.000-04:00,,MTA_M1040170,2025-06-26T14:04:12.648-04:00,MTA NYCT,WEST HARLEM 129 ST via BROADWAY,,MTA NYCT_MV_B5-Weekday-SDon_E_MV_32640_M104-116,MTA NYCT_M104,-73.954723,0,at stop,0,,2025-06-26T13:56:00.852-04:00,M104,MTA NYCT_MV_B5-Weekday-SDon-077900_M104_116,"Thu, 26 Jun 2025 18:04:29 GMT",true,layover,MTA_903352,,40.814985,MTA_405374,0,1750961071086,24d07b4d-369c-4169-a6b9-bf7018586ef3
MTA_301311,MTA NYCT_7110,normalProgress,2025-06-26T14:04:15.568-04:00,,1,2025-06-26,PARKSIDE AV/BEDFORD AV,,,3.2754025,,,,,MTA_B120019,2025-06-26T14:04:08.000-04:00,MTA NYCT,EAST NEW YORK ALABAMA AV,2025-06-26T14:04:15.568-04:00,MTA NYCT_EN_B5-Weekday-SDon_E_EN_14640_B12-6,MTA NYCT_B12,-73.95668,0,at stop,11,80,2025-06-26T13:58:56.859-04:00,B12,MTA NYCT_EN_B5-Weekday-SDon-083600_B12_22,"Thu, 26 Jun 2025 18:04:29 GMT",true,,MTA_801161,35,40.655834,MTA_301309,0,1750961071086,6aec8e45-d8ac-4af5-bfd9-99e5bffcb38e
MTA_500184,MTA NYCT_8442,normalProgress,2025-06-26T14:05:18.476-04:00,,1,2025-06-26,FARMERS BLVD/109 AV,,,140.7928,,MTABC_lmm:planned_work:24195,,MTABC_lmm:planned_work:23593,MTA_Q030131,2025-06-26T14:04:03.000-04:00,MTA NYCT,JAMAICA BUS TERMINAL,2025-06-26T14:05:18.476-04:00,MTA NYCT_JA_B5-Weekday-SDon_E_JA_46020_MISC-775,MTA NYCT_Q3,-73.765953,0,< 1 stop away,188,,2025-06-26T14:04:39.864-04:00,Q3,MTA NYCT_JA_B5-Weekday-SDon-079200_MISC_775,"Thu, 26 Jun 2025 18:04:29 GMT",true,,MTA_804235,,40.702186,MTA_904254,0,1750961071086,fbf73a70-f0ee-4356-b550-75ae5d81f072
MTA_101732,MTA NYCT_9772,normalProgress,2025-06-26T14:04:15.568-04:00,,1,2025-06-26,ERSKINE PL/EARHART LA,,,18.434948,,MTA NYCT_lmm:alert:443886,,,MTA_BX260292,2025-06-26T14:03:58.830-04:00,MTA NYCT,CO-OP CITY EARHART LANE via ALLERTON AV,2025-06-26T14:04:15.568-04:00,MTA NYCT_GH_B5-Weekday-SDon_E_GH_23880_BX256-510,MTA NYCT_BX26,-73.823195,0,approaching,45,80,2025-06-26T14:04:00.871-04:00,Bx26,MTA NYCT_GH_B5-Weekday-SDon-080200_BX256_515,"Thu, 26 Jun 2025 18:04:29 GMT",true,,MTA_101732,2,40.860727,MTA_100723,0,1750961071086,baa42e67-81d2-4648-ba74-6e74d6a3200f
MTA_403168,MTA NYCT_9779,normalProgress,2025-06-26T14:05:26.342-04:00,,1,2025-06-26,BROADWAY/W 72 ST,,,254.14925,,MTA NYCT_lmm:planned_work:15147,,,MTA_M1040169,2025-06-26T14:03:56.000-04:00,MTA NYCT,41 ST via BROADWAY/7 AV,2025-06-26T14:05:26.342-04:00,MTA NYCT_MV_B5-Weekday-SDon_E_MV_28860_M104-113,MTA NYCT_M104,-73.981672,1,< 1 stop away,163,80,2025-06-26T13:47:54.878-04:00,M104,MTA NYCT_MV_B5-Weekday-SDon-078400_M104_118,"Thu, 26 Jun 2025 18:04:29 GMT",true,,MTA_404153,15,40.780089,MTA_403942,0,1750961071087,5f8676d3-66bb-4073-9439-a8dba7c621dd
