StopPointRef,VehicleRef,ProgressRate,ExpectedDepartureTime,StopPoint,VisitNumber,DataFrameRef,StopPointName,SituationSimpleRef5,SituationSimpleRef3,Bearing,SituationSimpleRef4,SituationSimpleRef1,OriginAimedDepartureTime,SituationSimpleRef2,JourneyPatternRef,RecordedAtTime,OperatorRef,DestinationName,ExpectedArrivalTime,BlockRef,LineRef,VehicleLocationLongitude,DirectionRef,ArrivalProximityText,DistanceFromStop,EstimatedPassengerCapacity,AimedArrivalTime,PublishedLineName,DatedVehicleJourneyRef,Date,Monitored,ProgressStatus,DestinationRef,EstimatedPassengerCount,VehicleLocationLatitude,OriginRef,NumberOfStopsAway,ts,uuid
MTA_501903,MTA NYCT_8440,normalProgress,2025-06-25T18:23:15.843-04:00,,1,2025-06-25,HILLSIDE AV/169 ST,,MTABC_lmm:planned_work:23593,118.30076,MTA NYCT_JA_B5-Weekday-SDon-109700_MISC_867,MTA NYCT_JA_B5-Weekday-SDon-109900_Q17_325,,MTA NYCT_lmm:alert:443529,MTA_Q170341,2025-06-25T18:21:36.000-04:00,MTA NYCT,LIMITED FLUSHING MAIN ST STATION,2025-06-25T18:23:15.843-04:00,MTA NYCT_JA_B5-Weekday-SDon_E_JA_57300_MISC-797,MTA NYCT_Q17,-73.794499,0,< 1 stop away,255,,2025-06-25T18:12:42.448-04:00,Q17,MTA NYCT_JA_B5-Weekday-SDon-108900_MISC_797,"Wed, 25 Jun 2025 22:21:59 GMT",true,,MTA_804041,,40.70952,MTA_804178,0,1750890120262,1d6064cc-403f-436f-89b6-7695c43200a3
MTA_101713,MTA NYCT_9770,normalProgress,2025-06-25T18:23:23.348-04:00,,1,2025-06-25,BARTOW AV/GUNTHER AV,,,26.565052,,,,,MTA_BX260292,2025-06-25T18:21:22.000-04:00,MTA NYCT,CO-OP CITY EARHART LANE via ALLERTON AV,2025-06-25T18:23:23.348-04:00,MTA NYCT_GH_B5-Weekday-SDon_E_GH_51600_BX238-619,MTA NYCT_BX26,-73.836439,0,< 1 stop away,248,80,2025-06-25T18:16:51.453-04:00,Bx26,MTA NYCT_GH_B5-Weekday-SDon-105900_BX238_619,"Wed, 25 Jun 2025 22:21:59 GMT",true,,MTA_101732,15,40.865132,MTA_100723,0,1750890120263,df635393-d556-4ab7-87d9-2d6f2a94729f
MTA_400116,MTA NYCT_9775,normalProgress,2025-06-25T18:21:50.455-04:00,,1,2025-06-25,5 AV/E 92 ST,,,233.89334,,MTA NYCT_lmm:planned_work:24031,,MTA NYCT_lmm:alert:443547,MTA_M040175,2025-06-25T18:21:09.333-04:00,MTA NYCT,MIDTOWN  32 ST & 5 AV via BWAY 5 AV,2025-06-25T18:21:50.455-04:00,MTA NYCT_MV_B5-Weekday-SDon_E_MV_25200_M4-422,MTA NYCT_M4,-73.957024,1,approaching,126,80,2025-06-25T18:26:57.459-04:00,M4,MTA NYCT_MV_B5-Weekday-SDon-103200_M4_452,"Wed, 25 Jun 2025 22:21:59 GMT",true,,MTA_405548,13,40.786175,MTA_403835,0,1750890120263,cbe076d5-8ba3-46e3-a1cf-81be62724ab7
MTA_301030,MTA NYCT_7112,normalProgress,2025-06-25T18:21:39.223-04:00,,1,2025-06-25,LINDEN BLVD/SHERIDAN AV,,,188.5077,,,,,MTA_B140023,2025-06-25T18:21:17.000-04:00,MTA NYCT,CROWN HEIGHTS UTICA AV,2025-06-25T18:21:39.223-04:00,MTA NYCT_EN_B5-Weekday-SDon_E_EN_46020_B17-768,MTA NYCT_B14,-73.864401,1,at stop,27,80,2025-06-25T18:19:30.463-04:00,B14,MTA NYCT_EN_B5-Weekday-SDon-109500_B14_720,"Wed, 25 Jun 2025 22:21:59 GMT",true,,MTA_307984,9,40.669383,MTA_307269,0,1750890120263,cffa866b-d698-4f33-96d9-a7390f43c1eb
MTA_403047,MTA NYCT_9774,normalProgress,2025-06-25T18:24:37.289-04:00,,1,2025-06-25,CENTRAL PARK SOUTH/6 AV,,,60.25512,,MTA NYCT_lmm:alert:443547,,,MTA_M050062,2025-06-25T18:21:22.000-04:00,MTA NYCT,LIMITED 31 ST 6 AV,2025-06-25T18:24:37.289-04:00,MTA NYCT_MV_B5-Weekday-SDon_E_MV_27240_M5-516,MTA NYCT_M5,-73.981441,1,< 1 stop away,491,,2025-06-25T18:24:56.469-04:00,M5,MTA NYCT_MV_B5-Weekday-SDon-104500_M5_528,"Wed, 25 Jun 2025 22:21:59 GMT",true,,MTA_803082,,40.767872,MTA_400808,0,1750890120264,991ec1f2-8c28-49fa-9651-73c71cfaf9e1
MTA_303355,MTA NYCT_7113,noProgress,2025-06-25T18:36:00.000-04:00,,1,2025-06-25,ROCKAWAY PKWY/SHORE PKWY SERVICE RD NORTH,,,318.36646,,,2025-06-25T18:36:00.000-04:00,,MTA_B420005,2025-06-25T18:21:09.000-04:00,MTA NYCT,CANARSIE PIER,2025-06-25T18:36:00.000-04:00,MTA NYCT_EN_B5-Weekday-SDon_E_EN_53940_B82-629,MTA NYCT_B42,-73.887211,1,at stop,5,80,2025-06-25T18:36:00.473-04:00,B42,MTA NYCT_EN_B5-Weekday-SDon-109200_B42_509,"Wed, 25 Jun 2025 22:21:59 GMT",true,layover,MTA_306405,1,40.631476,MTA_303345,0,1750890120264,967daa4a-cc29-4d75-b82c-c7f14df1b0c7
MTA_203009,MTA NYCT_8444,normalProgress,2025-06-25T18:22:10.081-04:00,,1,2025-06-25,BRIELLE AV/BABE RUTH FIELD,,,152.07945,,,,,MTA_S540021,2025-06-25T18:21:36.000-04:00,MTA NYCT,W NEW BRIGHTON RICHMOND TERR,2025-06-25T18:22:10.081-04:00,MTA NYCT_CA_B5-Weekday-SDon_E_CA_49440_S54-124,MTA NYCT_S54,-74.134602,0,< 1 stop away,152,80,2025-06-25T18:13:22.480-04:00,S54,MTA NYCT_CA_B5-Weekday-SDon-106500_S54_124,"Wed, 25 Jun 2025 22:21:59 GMT",true,,MTA_905106,11,40.593374,MTA_203463,0,1750890120264,eac48991-0739-4546-a861-c4f56e91408d
MTA_401951,MTA NYCT_9773,normalProgress,2025-06-25T18:21:39.223-04:00,,1,2025-06-25,E 106 ST/1 AV,,,336.8213,,MTA NYCT_lmm:alert:443547,,,MTA_M1060008,2025-06-25T18:21:36.945-04:00,MTA NYCT,EAST HARLEM FDR DRIVE CROSSTOWN,2025-06-25T18:21:39.223-04:00,MTA NYCT_MV_B5-Weekday-SDon_E_MV_52200_M96-814,MTA NYCT_M106,-73.939721,0,at stop,0,80,2025-06-25T18:19:49.484-04:00,M106,MTA NYCT_MV_B5-Weekday-SDon-108000_M96_814,"Wed, 25 Jun 2025 22:21:59 GMT",true,,MTA_803066,8,40.789473,MTA_401933,0,1750890120264,22383954-dd9c-46d1-bb03-74a037ba4480
MTA_901017,MTA NYCT_7110,noProgress,2025-06-25T18:21:40.404-04:00,,1,2025-06-25,MARCUS GARVEY BLVD/BROADWAY,,,230.7928,,,2025-06-25T18:17:00.000-04:00,,MTA_B150027,2025-06-25T18:21:28.000-04:00,MTA NYCT,BED-STUY WOODHULL HOSPITAL,2025-06-25T18:21:40.404-04:00,MTA NYCT_EN_B5-Weekday-SDon_E_EN_38040_B15-118,MTA NYCT_B15,-73.941329,1,approaching,30,,2025-06-25T18:00:00.490-04:00,B15,MTA NYCT_EN_B5-Weekday-SDon-100700_B15_134,"Wed, 25 Jun 2025 22:21:59 GMT",true,layover,MTA_901017,,40.700013,MTA_801154,0,1750890120264,03b64636-3458-45b3-9d11-55205d693fef
MTA_101740,MTA NYCT_9772,normalProgress,2025-06-25T18:23:20.873-04:00,,1,2025-06-25,ASCH LOOP/BARTOW AV,,,18.049269,,,,,MTA_BX280725,2025-06-25T18:21:23.152-04:00,MTA NYCT,CO-OP CITY EARHART LANE via GUNHILL,2025-06-25T18:23:20.873-04:00,MTA NYCT_GH_B5-Weekday-SDon_E_GH_28140_BX238-626,MTA NYCT_BX28,-73.834046,0,< 1 stop away,364,80,2025-06-25T18:13:33.498-04:00,Bx28,MTA NYCT_GH_B5-Weekday-SDon-103600_BX238_622,"Wed, 25 Jun 2025 22:21:59 GMT",true,,MTA_101732,34,40.868033,MTA_103042,0,1750890120265,ee97bdc1-cc7a-4919-a16d-b767c65a0801
