stopsequence,arrivaltime,stopid,tripid,tripstartdate,departuretime,triprouteid,ts,uuid
"",1750890432,G21N,108100_E..N66R,20250625,1750890432,E,1750890240504,b2e72e8d-6928-44bf-9318-c59560634256
"",1750892070,H09N,113100_A..N55R,20250625,1750892070,A,1750890240507,297be670-1d6a-4901-8223-3ef8447b74c1
"",1750893120,H03N,113100_A..N55R,20250625,1750893120,A,1750890240510,3cb12a83-d65f-47e4-9601-c31a4a587a22
"",1750890792,G14N,108100_E..N66R,20250625,1750890792,E,1750890240506,79c891b0-7b1a-4f43-b83c-b96b85ce7c49
"",1750893480,A61N,113100_A..N55R,20250625,1750893480,A,1750890240511,24ae4e88-131e-45e6-94f9-8b0cc45b5b6e
"",1750893750,A57N,113100_A..N55R,20250625,1750893750,A,1750890240511,5510fa06-7d45-404d-9cc6-0beacf6fd564
"",1750893840,A55N,113100_A..N55R,20250625,1750893840,A,1750890240517,2f5baffc-6a86-4ed1-a7fa-ad223215462b
"",1750895940,A27N,113100_A..N55R,20250625,1750895940,A,1750890240525,3b184739-ea52-472f-9c5e-fd0baf2b2da2
"",1750891860,H11N,113100_A..N55R,20250625,1750891860,A,1750890240528,5e7bedcf-8cc8-40d4-8278-34ff83430618
"",1750894800,A42N,113100_A..N55R,20250625,1750894800,A,1750890240530,2b83698e-1472-44fe-ba37-bde3bdd1d6b5
"",1750893720,A28S,113250_A..S57R,20250625,1750893720,A,1750890240532,64924e2e-9d5f-4265-a837-ab54f8fb6537
"",1750895880,A28N,113100_A..N55R,20250625,1750895880,A,1750890240534,53ee787f-3a84-46d7-bac7-c3e42ce4bff9
"",1750890212,F11N,108100_E..N66R,20250625,1750890212,E,1750890240505,3b94662b-9ef6-4d8c-bbd8-edf9670b32cc
"",1750891950,H10N,113100_A..N55R,20250625,1750891950,A,1750890240506,045425ca-4153-4900-977b-f798fb0f098a
"",1750892280,H07N,113100_A..N55R,20250625,1750892280,A,1750890240508,1b214039-243d-42e0-8c45-26268dd7ec78
"",1750894140,A51N,113100_A..N55R,20250625,1750894140,A,1750890240512,36a68eb7-76b7-4356-a4a4-139ea2f9c101
"",1750897230,A06N,113100_A..N55R,20250625,1750897230,A,1750890240524,7a740590-2be8-4694-a494-28d9aec2ca73
"",1750895670,A31N,113100_A..N55R,20250625,1750895670,A,1750890240524,7c91e1c6-4939-41a1-b78d-1ceb8c883d42
"",1750892520,A09S,113250_A..S57R,20250625,1750892520,A,1750890240528,7778ea5e-4b2b-40a5-9c61-27a640291c1d
"",1750893660,A59N,113100_A..N55R,20250625,1750893660,A,1750890240529,ebe8cee6-865a-4857-aa11-890dd3661c22
"",1750894050,A32S,113250_A..S57R,20250625,1750894050,A,1750890240536,afd7a057-f9c9-4f28-ae2f-489de44585e9
"",1750890312,F09N,108100_E..N66R,20250625,1750890312,E,1750890240505,4728ba62-8f24-4bef-8c8c-6f39b20e3bf3
"",1750891962,G05N,108100_E..N66R,20250625,1750891962,E,1750890240506,b496e563-f512-4802-8e84-5e8da76f8da2
"",1750891152,G08N,108100_E..N66R,20250625,1750891152,E,1750890240512,3081cd46-ef1f-42fb-b4d8-10512ebd7f9d
"",1750891332,F06N,108100_E..N66R,20250625,1750891332,E,1750890240512,5c860a26-84a2-44dd-bb9a-894e9fa8e365
"",1750891602,G07N,108100_E..N66R,20250625,1750891602,E,1750890240513,b208112a-ab8b-4d13-8eb5-5a7c19413781
"",1750892160,H08N,113100_A..N55R,20250625,1750892160,A,1750890240515,09faba05-41e2-4065-af59-fda201c70136
"",1750894890,A41N,113100_A..N55R,20250625,1750894890,A,1750890240518,7badb61a-b101-427f-a871-9a7b3eda13ae
"",1750892385,H06N,113100_A..N55R,20250625,1750892385,A,1750890240519,24a847bd-4426-4f16-a1e1-b6964c70bd9f
