division,line,borough,stop_name,complex_id,constituent_station_name,station_id,gtfs_stop_id,daytime_routes,entrance_type,entry_allowed,exit_allowed,entrance_latitude,entrance_longitude,entrance_georeference,stationlatitude,entity,daytimeroutes,vending,entrancegeoreference,northsouthstreet,entrancetype,entrancelongitude,staffing,stationname,stationgeoreference,corner,ts,exitonly,entrancelatitude,eastweststreet,uuid,stationlongitude
BMT,4th Av,B,Atlantic Av-Barclays Ctr,617,Atlantic Av-Barclays Ctr,27,R31,2 3 4 5 B D N Q R,Stair,YES,YES,40.683905,-73.978879,"{""type"":""Point"",""coordinates"":[-73.978879,40.683905]}",,,2 3 4 5 B D N Q R,,"[-73.978879,40.683905]",,Stair,-73.978879,,,,,1750958750383,,40.683905,,38787d8d-b090-46de-bc34-8619403cd2fb,
BMT,4th Av,B,Atlantic Av-Barclays Ctr,617,Atlantic Av-Barclays Ctr,27,R31,2 3 4 5 B D N Q R,Elevator,YES,YES,40.683805,-73.978487,"{""type"":""Point"",""coordinates"":[-73.978487,40.683805]}",,,2 3 4 5 B D N Q R,,"[-73.978487,40.683805]",,Elevator,-73.978487,,,,,1750958750386,,40.683805,,c30f71b4-5378-4ae4-bf6a-6576c9e2ac1e,
BMT,4th Av,B,Atlantic Av-Barclays Ctr,617,Atlantic Av-Barclays Ctr,27,R31,2 3 4 5 B D N Q R,Stair,YES,YES,40.683928,-73.978412,"{""type"":""Point"",""coordinates"":[-73.978412,40.683928]}",,,2 3 4 5 B D N Q R,,"[-73.978412,40.683928]",,Stair,-73.978412,,,,,1750958750386,,40.683928,,483d1fc9-9921-454b-a955-f9a42a17337a,
BMT,4th Av,B,Union St,28,Union St,28,R32,R,Stair,YES,YES,40.6771544,-73.9834296,"{""type"":""Point"",""coordinates"":[-73.9834296,40.6771544]}",,,R,,"[-73.9834296,40.6771544]",,Stair,-73.9834296,,,,,1750958750386,,40.6771544,,d9c6a2e0-072e-497e-96f6-4eaedd690ceb,
BMT,4th Av,B,Union St,28,Union St,28,R32,R,Stair,YES,YES,40.6772958,-73.9833364,"{""type"":""Point"",""coordinates"":[-73.9833364,40.6772958]}",,,R,,"[-73.9833364,40.6772958]",,Stair,-73.9833364,,,,,1750958750387,,40.6772958,,bfd51e51-af53-4695-9a0a-4a57ea150e35,
BMT,4th Av,B,Union St,28,Union St,28,R32,R,Stair,YES,YES,40.677001,-73.983133,"{""type"":""Point"",""coordinates"":[-73.983133,40.677001]}",,,R,,"[-73.983133,40.677001]",,Stair,-73.983133,,,,,1750958750387,,40.677001,,49f3c9f1-e0a3-4011-9634-baa0d88c4eed,
BMT,4th Av,B,Union St,28,Union St,28,R32,R,Stair,YES,YES,40.677171,-73.98302,"{""type"":""Point"",""coordinates"":[-73.98302,40.677171]}",,,R,,"[-73.98302,40.677171]",,Stair,-73.98302,,,,,1750958750388,,40.677171,,4e554ebc-4154-4729-9e49-850e818c0931,
BMT,4th Av,B,4 Av-9 St,608,4 Av-9 St,29,R33,F G R,Stair,YES,YES,40.670538,-73.988778,"{""type"":""Point"",""coordinates"":[-73.988778,40.670538]}",,,F G R,,"[-73.988778,40.670538]",,Stair,-73.988778,,,,,1750958750390,,40.670538,,3c6e13d2-55e0-4090-ae4b-181a0a18eb90,
BMT,4th Av,B,4 Av-9 St,608,4 Av-9 St,29,R33,F G R,Stair,YES,YES,40.6704052,-73.9884866,"{""type"":""Point"",""coordinates"":[-73.9884866,40.6704052]}",,,F G R,,"[-73.9884866,40.6704052]",,Stair,-73.9884866,,,,,1750958750390,,40.6704052,,5d1908a6-a9bc-4f6b-8611-33837b1d22ca,
BMT,4th Av,B,Prospect Av,30,Prospect Av,30,R34,R,Stair,YES,YES,40.6652787,-73.9932544,"{""type"":""Point"",""coordinates"":[-73.9932544,40.6652787]}",,,R,,"[-73.9932544,40.6652787]",,Stair,-73.9932544,,,,,1750958750401,,40.6652787,,5ecf9a7e-289e-4ff7-9094-89d6bde4ba12,
BMT,4th Av,B,Prospect Av,30,Prospect Av,30,R34,R,Stair,YES,YES,40.6650684,-73.9930473,"{""type"":""Point"",""coordinates"":[-73.9930473,40.6650684]}",,,R,,"[-73.9930473,40.6650684]",,Stair,-73.9930473,,,,,1750958750401,,40.6650684,,dc979180-f28a-42dd-9ef7-0003b17086b6,
BMT,4th Av,B,Prospect Av,30,Prospect Av,30,R34,R,Stair,YES,YES,40.665299,-73.992729,"{""type"":""Point"",""coordinates"":[-73.992729,40.665299]}",,,R,,"[-73.992729,40.665299]",,Stair,-73.992729,,,,,1750958750401,,40.665299,,6b3e63f1-fbd6-4f95-b822-d8683cb7fc64,
BMT,4th Av,B,25 St,31,25 St,31,R35,R,Stair,YES,YES,40.6605007,-73.998224,"{""type"":""Point"",""coordinates"":[-73.998224,40.6605007]}",,,R,,"[-73.998224,40.6605007]",,Stair,-73.998224,,,,,1750958750402,,40.6605007,,e4f18d74-37ec-4d71-bcba-714ebc79cd3a,
BMT,4th Av,B,25 St,31,25 St,31,R35,R,Stair,YES,YES,40.660323,-73.997952,"{""type"":""Point"",""coordinates"":[-73.997952,40.660323]}",,,R,,"[-73.997952,40.660323]",,Stair,-73.997952,,,,,1750958750402,,40.660323,,f6b467a1-10d9-40e5-bde7-0166901d4c8a,
