division,line,borough,stop_name,complex_id,constituent_station_name,station_id,gtfs_stop_id,daytime_routes,entrance_type,entry_allowed,exit_allowed,entrance_latitude,entrance_longitude,entrance_georeference,stationlatitude,entity,daytimeroutes,vending,entrancegeoreference,northsouthstreet,entrancetype,entrancelongitude,staffing,stationname,stationgeoreference,corner,ts,exitonly,entrancelatitude,eastweststreet,uuid,stationlongitude
BMT,4th Av,B,Atlantic Av-Barclays Ctr,617,Atlantic Av-Barclays Ctr,27,R31,2 3 4 5 B D N Q R,Stair,YES,YES,40.683905,-73.978879,"{""type"":""Point"",""coordinates"":[-73.978879,40.683905]}",,,2 3 4 5 B D N Q R,,"[-73.978879,40.683905]",,Stair,-73.978879,,,,,1750920210786,,40.683905,,6bd6442d-992a-4f47-97e3-ede64baa7dc5,
BMT,4th Av,B,Atlantic Av-Barclays Ctr,617,Atlantic Av-Barclays Ctr,27,R31,2 3 4 5 B D N Q R,Elevator,YES,YES,40.683805,-73.978487,"{""type"":""Point"",""coordinates"":[-73.978487,40.683805]}",,,2 3 4 5 B D N Q R,,"[-73.978487,40.683805]",,Elevator,-73.978487,,,,,1750920210786,,40.683805,,031cb880-1ca1-4918-b43e-a8a24eabf382,
BMT,4th Av,B,Atlantic Av-Barclays Ctr,617,Atlantic Av-Barclays Ctr,27,R31,2 3 4 5 B D N Q R,Stair,YES,YES,40.683928,-73.978412,"{""type"":""Point"",""coordinates"":[-73.978412,40.683928]}",,,2 3 4 5 B D N Q R,,"[-73.978412,40.683928]",,Stair,-73.978412,,,,,1750920210787,,40.683928,,5ccb295e-63d6-4bef-81f2-a27b46070813,
BMT,4th Av,B,Union St,28,Union St,28,R32,R,Stair,YES,YES,40.6771544,-73.9834296,"{""type"":""Point"",""coordinates"":[-73.9834296,40.6771544]}",,,R,,"[-73.9834296,40.6771544]",,Stair,-73.9834296,,,,,1750920210787,,40.6771544,,1328155a-cdcc-4eb6-93b7-ece727ba743d,
BMT,4th Av,B,Union St,28,Union St,28,R32,R,Stair,YES,YES,40.6772958,-73.9833364,"{""type"":""Point"",""coordinates"":[-73.9833364,40.6772958]}",,,R,,"[-73.9833364,40.6772958]",,Stair,-73.9833364,,,,,1750920210788,,40.6772958,,39e41d79-8ce6-45cd-b38a-826b0aa7e357,
BMT,4th Av,B,Union St,28,Union St,28,R32,R,Stair,YES,YES,40.677001,-73.983133,"{""type"":""Point"",""coordinates"":[-73.983133,40.677001]}",,,R,,"[-73.983133,40.677001]",,Stair,-73.983133,,,,,1750920210788,,40.677001,,dc4a1462-3e03-4e3b-a397-af2453e8bc81,
BMT,4th Av,B,Union St,28,Union St,28,R32,R,Stair,YES,YES,40.677171,-73.98302,"{""type"":""Point"",""coordinates"":[-73.98302,40.677171]}",,,R,,"[-73.98302,40.677171]",,Stair,-73.98302,,,,,1750920210799,,40.677171,,c17c91f7-b2f6-4953-bbce-6db5f602be8c,
BMT,4th Av,B,4 Av-9 St,608,4 Av-9 St,29,R33,F G R,Stair,YES,YES,40.670538,-73.988778,"{""type"":""Point"",""coordinates"":[-73.988778,40.670538]}",,,F G R,,"[-73.988778,40.670538]",,Stair,-73.988778,,,,,1750920210800,,40.670538,,5c98de6a-1acb-4af7-9442-7ca137836eab,
BMT,4th Av,B,4 Av-9 St,608,4 Av-9 St,29,R33,F G R,Stair,YES,YES,40.6704052,-73.9884866,"{""type"":""Point"",""coordinates"":[-73.9884866,40.6704052]}",,,F G R,,"[-73.9884866,40.6704052]",,Stair,-73.9884866,,,,,1750920210801,,40.6704052,,6ae10778-a7d6-47de-b9d7-dbd11d01126c,
BMT,4th Av,B,Prospect Av,30,Prospect Av,30,R34,R,Stair,YES,YES,40.6652787,-73.9932544,"{""type"":""Point"",""coordinates"":[-73.9932544,40.6652787]}",,,R,,"[-73.9932544,40.6652787]",,Stair,-73.9932544,,,,,1750920210802,,40.6652787,,41689d00-685b-4462-9997-cbf70baf210f,
BMT,4th Av,B,Prospect Av,30,Prospect Av,30,R34,R,Stair,YES,YES,40.6650684,-73.9930473,"{""type"":""Point"",""coordinates"":[-73.9930473,40.6650684]}",,,R,,"[-73.9930473,40.6650684]",,Stair,-73.9930473,,,,,1750920210802,,40.6650684,,7fa3a73b-314c-4d74-9c2e-f2d9fb8337bd,
BMT,4th Av,B,Prospect Av,30,Prospect Av,30,R34,R,Stair,YES,YES,40.665299,-73.992729,"{""type"":""Point"",""coordinates"":[-73.992729,40.665299]}",,,R,,"[-73.992729,40.665299]",,Stair,-73.992729,,,,,1750920210802,,40.665299,,8decdf26-be04-4fa1-a479-b499c6a12be5,
BMT,4th Av,B,25 St,31,25 St,31,R35,R,Stair,YES,YES,40.6605007,-73.998224,"{""type"":""Point"",""coordinates"":[-73.998224,40.6605007]}",,,R,,"[-73.998224,40.6605007]",,Stair,-73.998224,,,,,1750920210803,,40.6605007,,e9dc3539-5447-466f-b5fe-2dd1420f2153,
BMT,4th Av,B,25 St,31,25 St,31,R35,R,Stair,YES,YES,40.660323,-73.997952,"{""type"":""Point"",""coordinates"":[-73.997952,40.660323]}",,,R,,"[-73.997952,40.660323]",,Stair,-73.997952,,,,,1750920210803,,40.660323,,29c3f6be-057b-4b31-82e9-a891d66ad82f,
BMT,4th Av,B,36 St,32,36 St,32,R36,D N R,Stair,YES,YES,40.65449,-74.004499,"{""type"":""Point"",""coordinates"":[-74.004499,40.65449]}",,,D N R,,"[-74.004499,40.65449]",,Stair,-74.004499,,,,,1750920210803,,40.65449,,89140d00-8dcf-4db3-8e1e-e40007b93fea,
BMT,4th Av,B,36 St,32,36 St,32,R36,D N R,Stair,YES,YES,40.6546909,-74.0043071,"{""type"":""Point"",""coordinates"":[-74.0043071,40.6546909]}",,,D N R,,"[-74.0043071,40.6546909]",,Stair,-74.0043071,,,,,1750920210804,,40.6546909,,baa6911b-09b8-40a4-8136-046bf5d61813,
BMT,4th Av,B,36 St,32,36 St,32,R36,D N R,Stair,YES,YES,40.654365,-74.004113,"{""type"":""Point"",""coordinates"":[-74.004113,40.654365]}",,,D N R,,"[-74.004113,40.654365]",,Stair,-74.004113,,,,,1750920210804,,40.654365,,93dd274a-d12d-4489-8804-5fd7cf9ef36b,
BMT,4th Av,B,45 St,33,45 St,33,R39,R,Stair,YES,YES,40.6494326,-74.0097327,"{""type"":""Point"",""coordinates"":[-74.0097327,40.6494326]}",,,R,,"[-74.0097327,40.6494326]",,Stair,-74.0097327,,,,,1750920210804,,40.6494326,,cfa1755e-22a9-461f-bec4-f4eb87c3477a,
BMT,4th Av,B,45 St,33,45 St,33,R39,R,Stair,YES,YES,40.6495617,-74.0096026,"{""type"":""Point"",""coordinates"":[-74.0096026,40.6495617]}",,,R,,"[-74.0096026,40.6495617]",,Stair,-74.0096026,,,,,1750920210805,,40.6495617,,ea273887-7028-46cd-a4eb-69fb23e891f4,
BMT,4th Av,B,45 St,33,45 St,33,R39,R,Stair,YES,YES,40.6492747,-74.009461,"{""type"":""Point"",""coordinates"":[-74.009461,40.6492747]}",,,R,,"[-74.009461,40.6492747]",,Stair,-74.009461,,,,,1750920210805,,40.6492747,,fe8ed38b-5281-4130-8c86-748213e91d04,
BMT,4th Av,B,45 St,33,45 St,33,R39,R,Stair,YES,YES,40.6494028,-74.0093232,"{""type"":""Point"",""coordinates"":[-74.0093232,40.6494028]}",,,R,,"[-74.0093232,40.6494028]",,Stair,-74.0093232,,,,,1750920210806,,40.6494028,,d164a1f1-bb86-4b1e-bc88-4b9b2525c35b,
BMT,4th Av,B,53 St,34,53 St,34,R40,R,Stair,YES,YES,40.6446672,-74.014688,"{""type"":""Point"",""coordinates"":[-74.014688,40.6446672]}",,,R,,"[-74.014688,40.6446672]",,Stair,-74.014688,,,,,1750920210807,,40.6446672,,0a696835-f27e-47a9-ad93-bf6aecfd1aa3,
BMT,4th Av,B,53 St,34,53 St,34,R40,R,Stair,YES,YES,40.6447641,-74.0145927,"{""type"":""Point"",""coordinates"":[-74.0145927,40.6447641]}",,,R,,"[-74.0145927,40.6447641]",,Stair,-74.0145927,,,,,1750920210807,,40.6447641,,ee704604-11a5-468c-b9e7-769d5a50823e,
BMT,4th Av,B,53 St,34,53 St,34,R40,R,Stair,YES,YES,40.6445032,-74.0144244,"{""type"":""Point"",""coordinates"":[-74.0144244,40.6445032]}",,,R,,"[-74.0144244,40.6445032]",,Stair,-74.0144244,,,,,1750920210807,,40.6445032,,416bf7aa-f6d3-4613-8bfa-4f283e0fbbfc,
BMT,4th Av,B,53 St,34,53 St,34,R40,R,Stair,YES,YES,40.644601,-74.014309,"{""type"":""Point"",""coordinates"":[-74.014309,40.644601]}",,,R,,"[-74.014309,40.644601]",,Stair,-74.014309,,,,,1750920210807,,40.644601,,b19c298d-60c2-4e9e-8349-205ba4aed9f6,
BMT,4th Av,B,53 St,34,53 St,34,R40,R,Stair,YES,YES,40.6456266,-74.01369,"{""type"":""Point"",""coordinates"":[-74.01369,40.6456266]}",,,R,,"[-74.01369,40.6456266]",,Stair,-74.01369,,,,,1750920210807,,40.6456266,,79554946-c72a-493d-b4a8-f5a8e588f026,
BMT,4th Av,B,59 St,35,59 St,35,R41,N R,Stair,YES,YES,40.6406896,-74.0188637,"{""type"":""Point"",""coordinates"":[-74.0188637,40.6406896]}",,,N R,,"[-74.0188637,40.6406896]",,Stair,-74.0188637,,,,,1750920210818,,40.6406896,,60593cdc-057b-4bda-8933-7e8019262aec,
