division,line,borough,stop_name,complex_id,constituent_station_name,station_id,gtfs_stop_id,daytime_routes,entrance_type,entry_allowed,exit_allowed,entrance_latitude,entrance_longitude,entrance_georeference,stationlatitude,entity,daytimeroutes,vending,entrancegeoreference,northsouthstreet,entrancetype,entrancelongitude,staffing,stationname,stationgeoreference,corner,ts,exitonly,entrancelatitude,eastweststreet,uuid,stationlongitude
BMT,4th Av,B,Atlantic Av-Barclays Ctr,617,Atlantic Av-Barclays Ctr,27,R31,2 3 4 5 B D N Q R,Stair,YES,YES,40.683905,-73.978879,"{""type"":""Point"",""coordinates"":[-73.978879,40.683905]}",,,2 3 4 5 B D N Q R,,"[-73.978879,40.683905]",,Stair,-73.978879,,,,,1750951851504,,40.683905,,c82bbdf2-5918-4cff-90ae-34d4a5c6c523,
BMT,4th Av,B,Atlantic Av-Barclays Ctr,617,Atlantic Av-Barclays Ctr,27,R31,2 3 4 5 B D N Q R,Elevator,YES,YES,40.683805,-73.978487,"{""type"":""Point"",""coordinates"":[-73.978487,40.683805]}",,,2 3 4 5 B D N Q R,,"[-73.978487,40.683805]",,Elevator,-73.978487,,,,,1750951851505,,40.683805,,7ad94a9b-b3cb-481d-8253-a3f25c02f0fa,
BMT,4th Av,B,Atlantic Av-Barclays Ctr,617,Atlantic Av-Barclays Ctr,27,R31,2 3 4 5 B D N Q R,Stair,YES,YES,40.683928,-73.978412,"{""type"":""Point"",""coordinates"":[-73.978412,40.683928]}",,,2 3 4 5 B D N Q R,,"[-73.978412,40.683928]",,Stair,-73.978412,,,,,1750951851505,,40.683928,,9deb69b2-f102-4980-9bea-735665e801d8,
BMT,4th Av,B,Union St,28,Union St,28,R32,R,Stair,YES,YES,40.6771544,-73.9834296,"{""type"":""Point"",""coordinates"":[-73.9834296,40.6771544]}",,,R,,"[-73.9834296,40.6771544]",,Stair,-73.9834296,,,,,1750951851505,,40.6771544,,e01886b9-6d0f-41b6-8cf4-d2ba5493eb83,
BMT,4th Av,B,Union St,28,Union St,28,R32,R,Stair,YES,YES,40.6772958,-73.9833364,"{""type"":""Point"",""coordinates"":[-73.9833364,40.6772958]}",,,R,,"[-73.9833364,40.6772958]",,Stair,-73.9833364,,,,,1750951851505,,40.6772958,,e3537878-10da-49a7-8000-47d2753e2ceb,
BMT,4th Av,B,Union St,28,Union St,28,R32,R,Stair,YES,YES,40.677001,-73.983133,"{""type"":""Point"",""coordinates"":[-73.983133,40.677001]}",,,R,,"[-73.983133,40.677001]",,Stair,-73.983133,,,,,1750951851505,,40.677001,,3ace5084-75db-48ab-9777-1a6050df8e4c,
BMT,4th Av,B,Union St,28,Union St,28,R32,R,Stair,YES,YES,40.677171,-73.98302,"{""type"":""Point"",""coordinates"":[-73.98302,40.677171]}",,,R,,"[-73.98302,40.677171]",,Stair,-73.98302,,,,,1750951851516,,40.677171,,2d83f824-ae67-446a-a7f0-2ef8f046831a,
BMT,4th Av,B,4 Av-9 St,608,4 Av-9 St,29,R33,F G R,Stair,YES,YES,40.670538,-73.988778,"{""type"":""Point"",""coordinates"":[-73.988778,40.670538]}",,,F G R,,"[-73.988778,40.670538]",,Stair,-73.988778,,,,,1750951851516,,40.670538,,2e021879-0965-4b7e-88f2-84ba90606e7d,
BMT,4th Av,B,4 Av-9 St,608,4 Av-9 St,29,R33,F G R,Stair,YES,YES,40.6704052,-73.9884866,"{""type"":""Point"",""coordinates"":[-73.9884866,40.6704052]}",,,F G R,,"[-73.9884866,40.6704052]",,Stair,-73.9884866,,,,,1750951851516,,40.6704052,,7b297447-d434-4572-82fc-7818bdee75f9,
BMT,4th Av,B,Prospect Av,30,Prospect Av,30,R34,R,Stair,YES,YES,40.6652787,-73.9932544,"{""type"":""Point"",""coordinates"":[-73.9932544,40.6652787]}",,,R,,"[-73.9932544,40.6652787]",,Stair,-73.9932544,,,,,1750951851517,,40.6652787,,57b26948-3a79-4799-92b8-1676f93205e4,
