division,line,borough,stop_name,complex_id,constituent_station_name,station_id,gtfs_stop_id,daytime_routes,entrance_type,entry_allowed,exit_allowed,entrance_latitude,entrance_longitude,entrance_georeference,stationlatitude,entity,daytimeroutes,vending,entrancegeoreference,northsouthstreet,entrancetype,entrancelongitude,staffing,stationname,stationgeoreference,corner,ts,exitonly,entrancelatitude,eastweststreet,uuid,stationlongitude
BMT,4th Av,B,Atlantic Av-Barclays Ctr,617,Atlantic Av-Barclays Ctr,27,R31,2 3 4 5 B D N Q R,Stair,YES,YES,40.683905,-73.978879,"{""type"":""Point"",""coordinates"":[-73.978879,40.683905]}",,,2 3 4 5 B D N Q R,,"[-73.978879,40.683905]",,Stair,-73.978879,,,,,1750898815160,,40.683905,,9fbdb785-2b55-4f9f-9780-34367bc91f62,
BMT,4th Av,B,Atlantic Av-Barclays Ctr,617,Atlantic Av-Barclays Ctr,27,R31,2 3 4 5 B D N Q R,Elevator,YES,YES,40.683805,-73.978487,"{""type"":""Point"",""coordinates"":[-73.978487,40.683805]}",,,2 3 4 5 B D N Q R,,"[-73.978487,40.683805]",,Elevator,-73.978487,,,,,1750898815161,,40.683805,,bee0423f-c464-4bc4-91aa-15cf798b93e6,
BMT,4th Av,B,Atlantic Av-Barclays Ctr,617,Atlantic Av-Barclays Ctr,27,R31,2 3 4 5 B D N Q R,Stair,YES,YES,40.683928,-73.978412,"{""type"":""Point"",""coordinates"":[-73.978412,40.683928]}",,,2 3 4 5 B D N Q R,,"[-73.978412,40.683928]",,Stair,-73.978412,,,,,1750898815162,,40.683928,,6ca79fe6-9cb2-4ffc-8f12-860cdc7fb37d,
BMT,4th Av,B,Union St,28,Union St,28,R32,R,Stair,YES,YES,40.6771544,-73.9834296,"{""type"":""Point"",""coordinates"":[-73.9834296,40.6771544]}",,,R,,"[-73.9834296,40.6771544]",,Stair,-73.9834296,,,,,1750898815163,,40.6771544,,7cd2f93f-2349-48e8-aa5d-24068335867d,
BMT,4th Av,B,Union St,28,Union St,28,R32,R,Stair,YES,YES,40.6772958,-73.9833364,"{""type"":""Point"",""coordinates"":[-73.9833364,40.6772958]}",,,R,,"[-73.9833364,40.6772958]",,Stair,-73.9833364,,,,,1750898815164,,40.6772958,,be33dc2e-068e-4031-878d-23cba717188e,
BMT,4th Av,B,Union St,28,Union St,28,R32,R,Stair,YES,YES,40.677001,-73.983133,"{""type"":""Point"",""coordinates"":[-73.983133,40.677001]}",,,R,,"[-73.983133,40.677001]",,Stair,-73.983133,,,,,1750898815165,,40.677001,,8e2dac6b-6bc2-43fe-94e5-9f03675f37ca,
BMT,4th Av,B,Union St,28,Union St,28,R32,R,Stair,YES,YES,40.677171,-73.98302,"{""type"":""Point"",""coordinates"":[-73.98302,40.677171]}",,,R,,"[-73.98302,40.677171]",,Stair,-73.98302,,,,,1750898815166,,40.677171,,b72b6a45-ea1c-4976-876d-98d8f2269227,
BMT,4th Av,B,4 Av-9 St,608,4 Av-9 St,29,R33,F G R,Stair,YES,YES,40.670538,-73.988778,"{""type"":""Point"",""coordinates"":[-73.988778,40.670538]}",,,F G R,,"[-73.988778,40.670538]",,Stair,-73.988778,,,,,1750898815166,,40.670538,,2154f202-0658-4343-8ab3-0aa454dfb88b,
BMT,4th Av,B,4 Av-9 St,608,4 Av-9 St,29,R33,F G R,Stair,YES,YES,40.6704052,-73.9884866,"{""type"":""Point"",""coordinates"":[-73.9884866,40.6704052]}",,,F G R,,"[-73.9884866,40.6704052]",,Stair,-73.9884866,,,,,1750898815167,,40.6704052,,656d2ffd-74d9-45dc-9764-9f32b03eed80,
BMT,4th Av,B,Prospect Av,30,Prospect Av,30,R34,R,Stair,YES,YES,40.6652787,-73.9932544,"{""type"":""Point"",""coordinates"":[-73.9932544,40.6652787]}",,,R,,"[-73.9932544,40.6652787]",,Stair,-73.9932544,,,,,1750898815168,,40.6652787,,3ffb4fc4-4d4f-439b-8fc1-04dfa8fd4d36,
