division,line,borough,stop_name,complex_id,constituent_station_name,station_id,gtfs_stop_id,daytime_routes,entrance_type,entry_allowed,exit_allowed,entrance_latitude,entrance_longitude,entrance_georeference,stationlatitude,entity,daytimeroutes,vending,entrancegeoreference,northsouthstreet,entrancetype,entrancelongitude,staffing,stationname,stationgeoreference,corner,ts,exitonly,entrancelatitude,eastweststreet,uuid,stationlongitude
BMT,4th Av,B,Atlantic Av-Barclays Ctr,617,Atlantic Av-Barclays Ctr,27,R31,2 3 4 5 B D N Q R,Stair,YES,YES,40.683905,-73.978879,"{""type"":""Point"",""coordinates"":[-73.978879,40.683905]}",,,2 3 4 5 B D N Q R,,"[-73.978879,40.683905]",,Stair,-73.978879,,,,,1750890728958,,40.683905,,b52af77d-f080-44ae-9145-d1863fc6ccfe,
BMT,4th Av,B,Atlantic Av-Barclays Ctr,617,Atlantic Av-Barclays Ctr,27,R31,2 3 4 5 B D N Q R,Elevator,YES,YES,40.683805,-73.978487,"{""type"":""Point"",""coordinates"":[-73.978487,40.683805]}",,,2 3 4 5 B D N Q R,,"[-73.978487,40.683805]",,Elevator,-73.978487,,,,,1750890728962,,40.683805,,50d0d6e5-b7e5-4946-8d6d-2a98d07c0216,
BMT,4th Av,B,Atlantic Av-Barclays Ctr,617,Atlantic Av-Barclays Ctr,27,R31,2 3 4 5 B D N Q R,Stair,YES,YES,40.683928,-73.978412,"{""type"":""Point"",""coordinates"":[-73.978412,40.683928]}",,,2 3 4 5 B D N Q R,,"[-73.978412,40.683928]",,Stair,-73.978412,,,,,1750890728963,,40.683928,,92ea5a62-b09d-4b78-a8fe-dbe54f90676c,
BMT,4th Av,B,Union St,28,Union St,28,R32,R,Stair,YES,YES,40.6771544,-73.9834296,"{""type"":""Point"",""coordinates"":[-73.9834296,40.6771544]}",,,R,,"[-73.9834296,40.6771544]",,Stair,-73.9834296,,,,,1750890728964,,40.6771544,,adb72df0-e0d8-4768-b882-9a6fa184b434,
BMT,4th Av,B,Union St,28,Union St,28,R32,R,Stair,YES,YES,40.6772958,-73.9833364,"{""type"":""Point"",""coordinates"":[-73.9833364,40.6772958]}",,,R,,"[-73.9833364,40.6772958]",,Stair,-73.9833364,,,,,1750890728965,,40.6772958,,23bb089a-bb7c-443e-b4b4-385b711a4a35,
BMT,4th Av,B,Union St,28,Union St,28,R32,R,Stair,YES,YES,40.677001,-73.983133,"{""type"":""Point"",""coordinates"":[-73.983133,40.677001]}",,,R,,"[-73.983133,40.677001]",,Stair,-73.983133,,,,,1750890728966,,40.677001,,7de93e7f-befe-49d3-82b0-0d94928d56e5,
BMT,4th Av,B,Union St,28,Union St,28,R32,R,Stair,YES,YES,40.677171,-73.98302,"{""type"":""Point"",""coordinates"":[-73.98302,40.677171]}",,,R,,"[-73.98302,40.677171]",,Stair,-73.98302,,,,,1750890728966,,40.677171,,cdd77535-30f0-4fd8-929c-71859ba5eebd,
BMT,4th Av,B,4 Av-9 St,608,4 Av-9 St,29,R33,F G R,Stair,YES,YES,40.670538,-73.988778,"{""type"":""Point"",""coordinates"":[-73.988778,40.670538]}",,,F G R,,"[-73.988778,40.670538]",,Stair,-73.988778,,,,,1750890728967,,40.670538,,1b71a08d-04b9-40bc-9251-acbbfcb74880,
BMT,4th Av,B,4 Av-9 St,608,4 Av-9 St,29,R33,F G R,Stair,YES,YES,40.6704052,-73.9884866,"{""type"":""Point"",""coordinates"":[-73.9884866,40.6704052]}",,,F G R,,"[-73.9884866,40.6704052]",,Stair,-73.9884866,,,,,1750890728968,,40.6704052,,81766265-9896-4224-b193-ee14f89a5822,
BMT,4th Av,B,Prospect Av,30,Prospect Av,30,R34,R,Stair,YES,YES,40.6652787,-73.9932544,"{""type"":""Point"",""coordinates"":[-73.9932544,40.6652787]}",,,R,,"[-73.9932544,40.6652787]",,Stair,-73.9932544,,,,,1750890728969,,40.6652787,,76f9cdda-a612-4185-8b76-c1784d6ebca7,
