station,borough,trainno,equipmentno,equipmenttype,serving,ADA,isactive,nonNYCT,shortdescription,linesservedbyelevator,elevatorsgtfsstopid,elevatormrn,stationcomplexid,nextadanorth,nextadasouth,redundant,busconnections,alternativeroute
1 Av,,L,EL293,EL,E 14 St and Avenue A (SW corner) to Canarsie-bound platform,Y,Y,N,Street to Brooklyn-bound platform,L,L06,119,119,"117, L","120, L",0,"M15, M15 SBS, M14A SBS, M14D SBS",If you are on the street: Take a westbound M14A SBS or M14D SBS (E 14 St and 1 Av) to 4 Av for Union Sq-14 St station. Then use elevators for Canarsie-bound L service. If you are on the platform: Take a Canarsie-bound L to Bedford Av. Then transfer across the platform to an 8 Av-bound L to 1 Av.
1 Av,,L,EL292,EL,E 14 St and Avenue A (NW corner) to 8 Av-bound platform,Y,Y,N,Street to 8 Av-bound platform,L,L06,119,119,"117, L","120, L",0,"M15, M15 SBS, M14A SBS, M14D SBS","If you are on the street: Take a West Side-bound M14A SBS or M14D SBS (E 14 St and 1 Av) to 4 Av for Union Sq-14 St station. Then use elevators for 8 Av-bound L service. If you are on the platform: Take an 8 Av-bound L to Union Sq-14 St. Then either: transfer across the platform to a Canarsie-bound L train to 1 Av. Or, use elevators to exit station and take an M14A SBSS or M14D SBS to 1 Av."
125 St,,1,ES103,ES,"125 St & Broadway (SE corner) to mezzanine
",N,Y,N,Street to mezzanine,1,116,306,306,,,0,,
125 St,,1,ES101,ES,mezzanine to 125 St & Broadway (SW corner),N,Y,N,Mezzanine to street,1,116,306,306,,,0,,
125 St,,1,ES102,ES,125 St & Broadway (SW corner) to mezzanine,N,Y,N,Street to mezzanine,1,116,306,306,,,0,,
125 St,,A/C/B/D,EL144,EL,mezzanine to uptown platform,Y,Y,N,Mezzanine to uptown platform,A/C/B/D,A15,153,153,"148, A, C / 389, B, D","315, A, C, B, D",0,"M3, M10, M60 SBS, M100, M101, M104, Bx15","If you are on the mezzanine: Take a downtown A, C, B or D to 59 St-Columbus Circle and use elevators to transfer to an uptown A, C, B or D.
If you are on the platform: Take an uptown A or C to 168 St, and then: Use elevators to transfer to a downtown A or C to 125 St. Or, use elevators to exit the station and take an East Village-bound M3 bus (Broadway and 168 St) to St. Nicholas Av and 125 St or Manhattanville-bound M100 (Broadway and W 168 St) to St. Nicholas Av and 124 St."
125 St,,A/C/B/D,EL143,EL,Mezzanine to downtown platform,Y,N,N,Mezzanine to downtown platform,A/C/B/D,A15,153,153,"148, A, C / 389, B, D","315, A, C, B, D",0,"M3, M10, M60 SBS, M100, M101, M104, Bx15","If you are on the mezzanine: For A/C, take an uptown A or C to 168 St and use elevators to transfer to a downtown A or C. For B/D, take an uptown B or D to 161 St-Yankee Stadium and use elevators to transfer to a downtown B or D.
If you are on the platform: Take a downtown A, C, B or D to 59 St-Columbus Circle and use elevators to transfer to an uptown A, C, B or D to 125 St. Or, take a downtown A, C, B or D to 59 St-Columbus Circle. Use elevators to exit the station and take a Harlem-bound M10 bus (Central Park West and Columbus Circle) to Fredrick Douglass Blvd and 125 St. Proceed one block west to St. Nicholas Av."
125 St,,A/C/B/D,EL142,EL,125 St & St Nicholas Ave (SW corner) to mezzanine for service in both directions,Y,Y,N,Street to mezzanine,A/C/B/D,A15,153,153,"148, A, C / 389, B, D","315, A, C, B, D",0,"M3, M10, M60 SBS, M100, M101, M104, Bx15","If you are on the street: Take a Fort George-bound M3 bus (St Nicholas Av and 124 St) to 167 St for 168 St A/C Station.
For B/D, take a downtown A or C from 168 St to 125 St and transfer. If you're on the platform: Take an uptown A or C to 168 St. Use elevators to exit the station and take an East Village-bound M3 bus (Broadway and 168 St) to St. Nicholas Av and 125 St."
125 St,,4/5/6,EL126,EL,Mezzanine to platforms for service in both directions,Y,Y,N,Mezzanine to platforms,4/5/6,621,392,392,"373, 6 / 389, 4 / 434, 5","401, 6 / 402, 4, 5",0,"M35, M60 SBS, M100, M101, M103, Bx15, M98 (weekdays only; southbound along Park Avenue; northbound along Third Avenue); Metro-North Railroad","If you are on the mezzanine:  Use elevator to exit station and take a downtown M101 or M103 (Lexington Av and E 124 St). Then either:  For Pelham Bay Park-bound 6 service, take bus to 86 St and use elevator to enter station.  Transfer across the platform at 125th St for Woodlawn-bound 4 or Dyre Av-bound 5 service.   For downtown 6 service, take bus to 51st St and use elevators to enter station.  For downtown 4, 5 or 6, take bus to 42 St-Grand Central and use elevators to enter station.  If you are on the Bronx-bound platform:  Take a Woodlawn-bound 4 to 161 St-Yankee Stadium. Then, use elevators to transfer to a downtown 4 to 125 St. Or, take a Dyre Av-bound 5 to 3 Av-149 St. Then, use elevator to exit station and take a Manhattan-bound M125 (Bergen Av and Westchester Av) to 125 St and Lexington Av.  If you are on the downtown platform:  Take a downtown 6 to 51 St. Then either:  Use elevators to transfer to a Pelham Bay Park-bound 6 to 125 St.  Or, use elevators to exit station and take an uptown M101 or M103 (50 St and 3 Av) to 125 St."
125 St,,4/5/6,EL125,EL,"125 St & Lexington Av (NE corner) to mezzanine for service in both directions
",Y,Y,N,Street to mezzanine,4/5/6,621,392,392,"373, 6 / 389, 4 / 434, 5","401, 6 / 402, 4, 5",0,"M35, M60 SBS, M100, M101, M103, Bx15, M98 (weekdays only; southbound along Park Avenue; northbound along Third Avenue); Metro-North Railroad","If you are on the street: Take a downtown M101 or M103 (Lexington Av and E 124 St). Then either:  For Pelham Bay Park-bound 6 service, take bus to 86 St and use elevator to enter station. Transfer across the platform at 125th St for Woodlawn-bound 4 or Dyre Av-bound 5 service.  For downtown 6 service, take bus to 51st St and use elevators to enter station. For downtown 4, 5 or 6, take bus to 42 St-Grand Central and use elevators to enter station. If you are on the mezzanine:  See a station agent to re-enter faregate, then either: Take a Dyre Av-bound 5 to 3 Av-149 St. Use elevator to exit station and take a Manhattan-bound M125 (Bergen Av and Westchester Av) to 125 St and Lexington Av. Or, take a downtown 6 to 51st St. Use elevators to exit station and take an uptown M101 or M103 (50 St and 3 Av) to 125 St. "
